Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69003,20.57859,19.88269,,,300.10524,118.77926,39.5792,314.36693,1134.18185,93.90108,9.54865,3.77928,-1.90032,2.2101,2.23172,11.01723,3837.86962,3813.61421,292.75581,3972.11982,5.68613,5.66814,1.57045,5.78473,-1.97596,-4.49447,-21.09261,0.35075,258.08029,-1.19409,0.35894,1.10268,0.64291,2.58859,57.0,2536.0,0.43042,47.82084,0.36107,180.89556,60.27737,181.32598,60.4208,20.113431
951.0,1.69003,20.57859,19.88269,,,2442.71914,873.71444,35.76811,1062.44644,8387.83058,315.77759,9.6002,3.43381,-0.71643,6.42776,6.31488,11.03111,34630.58426,34856.71958,18404.25173,43945.77778,6.29657,6.3171,4.59022,7.09305,-61.42055,31.72025,-159.41905,0.56713,281.60585,-0.44776,0.37808,0.94604,0.75662,2.68978,195.0,10179.0,1.80239,197.83115,0.20587,1567.20231,64.1581,1569.0047,64.23189,22.113431
662.0,1.69003,14.83249,19.88269,,,196.14189,59.5898,30.38096,220.39608,570.48525,49.6935,9.57354,2.90853,1.43557,2.17625,2.26732,8.20238,942.08262,930.19807,138.49463,1005.38766,3.9753,3.95014,1.5242,4.10669,-0.21481,-9.31532,14.58129,1.24639,122.19331,0.89971,0.41056,0.73999,0.80453,2.47938,28.0,145.0,0.03928,3.79283,0.06587,136.51282,69.59901,136.55209,69.61904,22.826126000000002
397.0,12.70504,20.57859,19.88269,,,103.97977,41.86889,40.26638,133.71775,415.60936,40.97675,9.92645,3.99702,-0.42948,2.00896,2.08193,16.48843,257.74691,255.56724,85.95945,299.6368,2.48138,2.47086,1.43299,2.67543,-1.33197,1.25353,-1.55891,0.67743,308.54407,-0.2596,0.38595,1.04331,0.55889,2.54029,21.0,568.0,0.08528,10.48716,0.20328,62.0256,59.6516,62.11088,59.73362,23.664181499999998
951.0,1.69003,20.57859,19.88269,,,391.20929,128.26882,32.78777,363.294,1259.71272,115.19037,9.82088,3.22005,0.91071,2.40979,2.43851,11.31852,4221.22196,4210.64248,437.47838,4434.67141,5.73596,5.72877,1.84657,5.87919,-10.2291,38.50524,-7.70147,0.59522,348.5154,0.55639,0.38912,0.84262,0.83528,2.57021,41.0,724.0,0.16579,15.00819,0.12908,262.77469,67.16985,262.94047,67.21223,24.113431
951.0,1.69003,20.57859,19.88269,,,223.25584,84.84149,38.00191,267.57036,842.75529,79.27083,9.93329,3.77484,-1.19548,1.93527,1.92433,11.18381,2586.64184,2589.20609,155.97952,2665.91372,5.52279,5.52553,1.3562,5.60678,-0.15481,10.21037,9.55906,0.3295,43.08267,-0.72211,0.367,1.03547,0.65083,2.52928,27.0,1109.0,0.18853,21.71985,0.22172,138.22582,61.91364,138.41435,61.99809,25.113431
234.0,1.69003,6.3227,19.88269,,,68.70315,27.57337,40.13407,96.43483,300.10799,31.75499,10.88398,4.36818,-3.37711,2.14658,2.25145,3.937,85.89375,83.09626,67.54408,118.26705,1.76607,1.73707,1.5661,2.07233,2.65495,2.19274,-3.34104,11.8134,294.90566,-1.8617,0.33439,1.20023,0.63668,2.53443,15.0,531.0,0.09804,11.55658,0.35431,41.03174,59.72323,41.12979,59.86593,26.400636499999997
650.0,6.6607,19.56457,19.88269,,,556.04747,164.42778,29.57082,403.24339,1411.74406,98.26955,8.5858,2.53889,1.10219,3.63517,3.73385,12.98079,2849.75218,2854.30664,1128.41316,3416.23599,4.16252,4.16585,2.61931,4.5575,23.83057,28.32879,184.9949,6.14487,80.52647,0.77024,0.45663,0.64759,1.13015,2.52232,26.0,426.0,0.18021,12.03725,0.10948,391.43948,70.39677,391.61969,70.42918,29.311263500000003
838.0,3.93677,20.57859,19.88269,,,318.58867,102.49226,32.17072,310.96907,996.62324,81.91781,9.72389,3.12824,1.15166,2.42084,2.577,11.80637,2697.27144,2695.71995,309.05265,2851.02202,5.12918,5.1277,1.73621,5.27334,1.44664,-4.25332,17.54414,0.43321,103.5882,0.71062,0.39405,0.81642,0.86029,2.54772,31.0,504.0,0.12348,10.63134,0.12033,215.97293,67.79053,216.09641,67.82928,30.225768000000002
504.0,1.69003,11.69102,19.88269,,,132.00486,43.49381,32.94865,162.69572,372.62378,38.49015,8.56728,2.8228,0.5235,1.94561,1.97779,7.08598,355.89759,356.73042,85.8529,399.24046,2.86039,2.86373,1.40488,3.02956,-2.80576,-11.77501,12.23014,3.61472,134.02293,0.36662,0.44959,0.73286,0.87961,2.45186,16.0,199.0,0.03434,3.61961,0.07889,88.4767,67.02534,88.51104,67.05135,30.6690525
