#Location,"Fraer, CO",,,,,,,,
#Site,Berthoud Pass,,,,,,,,
#Pit_ID,bp1,,,,,,,,
#Date_Time,2022-02-25-1215,,,,,,,,
#UTM_Zone,13S,,,,,,,,
#Easting,433402,,,,,,,,
#Northing,4406251,,,,,,,,
#Instrument,,,,,,,,,
#Profile_ID,,,,,,,,,
#Operator,Kaitlin,,,,,,,,
#Timing,3 hours,,,,,,,,
#Notes,,,,,,,,,
#Total_snow_depth(cm),139,,,,,,,,
#,,,,,,,,,
#Sample_signal(mV),Reflectance,Specific_surface_area(m^2/kg),Sample_top_height(cm),grain_type,density,Method,Air Temp,Snow Temp,Moisture
265,29.53,16.1,75,RG,280,normal,-9.8,-3.4,D
248,27.63,14.5,73,RG,280,normal,-9.8,NaN,D
267,29.75,16.3,73,RG,280,normal,-9.8,NaN,D
257,28.64,15.4,71,RG,280,normal,-9.8,NaN,D
269,29.97,16.5,71,RG,280,normal,-9.8,NaN,D
269,29.97,16.5,69,RG,280,normal,-9.8,NaN,D
258,28.75,15.4,69,RG,280,normal,-9.8,NaN,D
264,29.42,16,67,RG,280,normal,-9.8,NaN,D
240,26.73,13.9,67,RG,360,normal,-9.8,NaN,D
284,31.6,18,67,RG,360,normal,-9.8,NaN,D
252,28.08,14.9,64,RG,360,shaved,-9.8,-3.3,D
258,28.75,15.4,64,RG,360,shaved,-9.8,-3.3,D
245,27.29,14.3,62,RG,360,shaved,-9.8,NaN,D
254,28.3,15.1,62,RG,360,shaved,-9.8,NaN,D
234,26.04,13.3,60,RG,NaN,shaved,-9.8,NaN,D
250,27.86,14.7,58,RG,NaN,shaved,-9.8,NaN,D
249,27.74,14.6,58,RG,NaN,shaved,-9.8,NaN,D
244,27.18,14.2,56,RG,340,shaved,-9.8,-2.7,D
255,28.42,15.2,56,RG,340,shaved,-9.8,-2.7,D
231,25.7,13.1,54,RG,340,shaved,-9.8,-2.7,D
228,25.36,12.9,54,RG,340,shaved,-9.8,-2.7,D
253,28.19,15,52,RG,340,shaved,-9.8,NaN,D
267,29.75,16.3,52,RG,340,shaved,-9.8,NaN,D
235,26.16,13.4,52,RG,340,shaved,-9.8,NaN,D
244,27.18,14.2,50,RG,NaN,normal,-9.8,NaN,D
245,27.29,14.3,50,RG,NaN,normal,-9.8,NaN,D
297,33,19.4,48,RG,NaN,normal,-9.8,NaN,D
245,27.29,14.3,48,RG,NaN,normal,-9.8,NaN,D
237,26.39,13.6,48,RG,NaN,normal,-9.8,NaN,D
247,27.52,14.5,46,RG,NaN,normal,-9.8,-2.6,D
247,27.52,14.5,46,RG,NaN,normal,-9.8,-2.6,D
224,24.9,12.5,44,RG,320,normal,-9.8,-2.6,D
220,24.43,12.2,44,RG,320,normal,-9.8,-2.6,D
228,25.36,12.9,42,RG,320,normal,-9.8,NaN,D
236,26.27,13.5,42,RG,320,normal,-9.8,NaN,D
209,23.15,11.4,40,RG,320,normal,-9.8,NaN,D
222,24.66,12.4,40,RG,320,normal,-9.8,NaN,D
203,22.44,10.9,38,FC,300,normal,-9.8,NaN,D
207,22.91,11.2,38,FC,300,normal,-9.8,NaN,D
178,19.44,9,36,FC,300,normal,-9.8,-1.7,D
203,22.44,10.9,36,FC,300,normal,-9.8,-1.7,D
196,21.61,10.4,34,FC,300,normal,-9.8,-1.7,D
200,22.09,10.7,34,FC,300,normal,-9.8,-1.7,D
194,21.37,10.2,32,FC,300,normal,-9.8,NaN,D
202,22.32,10.8,32,FC,300,normal,-9.8,NaN,D
183,20.05,9.4,30,MFcr,NaN,stacked,-9.8,NaN,D
182,19.93,9.3,30,MFcr,NaN,stacked,-9.8,NaN,D
172,18.71,8.6,28,DH,260,normal,-9.8,NaN,D
164,17.73,8,28,DH,260,normal,-9.8,NaN,D
164,17.73,8,26,DH,260,normal,-9.8,-1,D
170,18.46,8.4,26,DH,260,normal,-9.8,-1,D
186,20.41,9.6,24,DH,260,normal,-9.8,-1,D
183,20.05,9.4,24,DH,260,normal,-9.8,-1,D
196,21.61,10.4,22,DH,260,normal,-9.8,NaN,D
174,18.95,8.7,22,DH,260,normal,-9.8,NaN,D
170,18.46,8.4,20,DH,260,normal,-9.8,NaN,D
181,19.81,9.2,20,DH,260,normal,-9.8,NaN,D
184,20.17,9.5,18,DH,260,normal,-9.8,NaN,D
175,19.08,8.8,18,DH,260,normal,-9.8,NaN,D
195,21.49,10.3,16,DH,260,normal,-9.8,-1.5,D
196,21.61,10.4,16,DH,260,normal,-9.8,-1.5,D
116,11.62,4.4,14,DH,310,mixed,-9.8,-1.5,D
191,21.01,10,14,DH,310,mixed,-9.8,-1.5,D
170,18.46,8.4,12,DH,310,mixed,-9.8,NaN,D
171,18.59,8.5,12,DH,310,mixed,-9.8,NaN,D
180,19.68,9.2,10,DH,NaN,mixed,-9.8,NaN,D
182,19.93,9.3,10,DH,NaN,mixed,-9.8,NaN,D
189,20.77,9.8,8,IF,NaN,mixed,-9.8,NaN,D
190,20.89,9.9,8,IF,NaN,mixed,-9.8,NaN,D
195,21.49,10.3,6,IF,340,normal,-9.8,-0.2,D
201,22.2,10.7,6,IF,340,normal,-9.8,-0.2,D
237,26.39,13.6,4,IF,340,normal,-9.8,-0.2,D
