Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
469.0,11.27349,20.57859,19.88269,,,164.26497,53.18316,32.37645,181.68473,838.5704,47.47673,15.76759,5.10499,4.65488,2.31668,2.4876,15.41401,510.33323,507.17587,144.6221,581.0656,3.09418,3.0846,1.64716,3.30166,3.91902,3.68504,-14.08209,2.28261,284.0053,1.77131,0.32809,0.98682,0.41283,2.65605,44.0,108.0,0.04701,4.21081,0.08831,111.0348,67.59494,111.08181,67.62355,15.592604000000001
951.0,1.69003,20.57859,19.88269,,,529.43513,155.29313,29.33185,430.47378,2673.81756,92.00506,17.21787,5.05032,4.09323,3.01714,2.98989,11.21891,4898.19725,4898.74636,697.06658,5247.0051,5.61007,5.61039,2.11635,5.80639,-2.10797,-20.19051,0.68898,0.27552,178.01718,1.42639,0.22858,1.28323,0.42224,2.7064,80.0,294.0,0.16048,10.96723,0.10323,373.98152,70.63784,374.142,70.66815,17.113431
951.0,1.69003,20.57859,19.88269,,,745.32522,200.2337,26.86528,523.38808,4188.95631,89.05851,20.92034,5.62031,6.32018,3.56452,3.58527,11.25554,6494.81515,6504.99026,1250.56621,7125.18581,5.68356,5.68801,2.49396,5.95299,1.82034,7.52843,-12.21786,0.15652,301.68134,1.81264,0.19339,1.38918,0.36873,2.74202,192.0,267.0,0.10636,8.16286,0.05309,544.98516,73.12045,545.09152,73.13472,17.113431
869.0,3.32041,20.57859,19.88269,,,430.69192,100.67011,23.37404,372.69724,2120.49329,62.9767,21.06378,4.92346,7.09269,2.82824,2.82807,11.79989,2696.36893,2686.53658,402.85657,2892.88104,5.16332,5.1539,1.99579,5.34816,-1.26076,-3.05289,5.62304,0.16045,118.41272,2.02035,0.19332,1.2091,0.42224,2.70134,146.0,131.0,0.06542,4.51681,0.06494,329.95639,76.61077,330.02181,76.62596,18.19495
774.0,5.20927,20.57859,19.88269,,,746.54775,175.01142,23.44276,497.89102,3383.37907,81.6466,19.33233,4.53203,6.53016,3.90918,3.9158,12.98013,4126.49688,4120.91271,1368.15888,4807.78423,4.84623,4.84295,2.7905,5.23101,-11.88933,2.17181,46.72383,0.97282,87.59001,2.02671,0.21125,1.10972,0.46301,2.71224,172.0,173.0,0.07859,5.59948,0.04488,571.45774,76.54671,571.53633,76.55724,18.289393
951.0,1.69003,20.57859,19.88269,,,214.40557,80.58815,37.58678,261.50287,1040.60087,73.82941,12.91258,4.85342,1.2166,1.83937,1.88866,10.70505,2232.83951,2240.16541,144.27942,2308.64217,5.26254,5.27117,1.33773,5.35112,1.00738,24.7079,-11.88033,0.75115,334.4158,0.56531,0.32605,1.15281,0.44844,2.59203,42.0,467.0,0.18856,18.13548,0.23343,133.62887,62.32528,133.81743,62.41322,19.113431
951.0,1.69003,20.57859,19.88269,,,652.16553,148.41011,22.75651,484.24893,3136.04357,78.30849,21.13093,4.80866,7.15179,3.33295,3.36145,10.98711,4813.53824,4808.53928,819.64889,5220.86321,5.6817,5.67875,2.34455,5.91722,2.11092,3.80832,15.46235,0.22877,76.15347,2.03071,0.19249,1.1822,0.43465,2.69189,225.0,177.0,0.07422,5.40925,0.04999,503.68119,77.23211,503.75542,77.24349,19.113431
838.0,1.69003,18.33184,19.88269,,,331.65011,78.20821,23.58154,318.38241,1603.436,53.99239,20.50214,4.83472,6.94167,2.51266,2.54729,10.34175,1903.02823,1900.975,247.05695,2025.53009,4.92194,4.91928,1.77342,5.07788,0.50735,-2.11171,6.52118,0.23738,107.90808,2.03149,0.19865,1.18708,0.42967,2.67273,122.0,82.0,0.04025,2.78931,0.05144,253.40165,76.40632,253.4419,76.41846,20.0010935
951.0,1.69003,20.57859,19.88269,,,978.43754,214.12459,21.88434,612.11251,4500.32004,97.42528,21.0173,4.5995,6.95459,4.02768,4.01512,11.36184,7372.61438,7343.00527,1798.5222,8257.07092,5.85448,5.84272,2.89158,6.19571,16.18061,-30.9505,60.96469,0.70398,116.69423,1.98539,0.19217,1.13881,0.46953,2.70847,288.0,269.0,0.12145,8.59553,0.05669,764.1915,78.10325,764.31295,78.11566,21.113431
570.0,2.30639,13.61964,19.88269,,,304.74592,70.85473,23.25043,273.79551,1521.64341,42.94398,21.47554,4.99315,7.4388,2.91922,2.91424,8.1791,910.2985,914.05641,307.12817,1065.74154,3.57542,3.58279,2.0768,3.86866,-1.8467,2.75912,2.45402,0.34873,41.45297,2.07831,0.1932,1.20345,0.41046,2.6923,113.0,67.0,0.0282,2.09963,0.03979,233.86299,76.74032,233.89119,76.74957,21.7963015
951.0,1.69003,20.57859,19.88269,,,448.2054,121.86823,27.19026,391.97376,2739.93119,63.70587,22.48274,6.11312,8.04043,2.7531,2.73329,12.03445,3673.11711,3679.41359,458.44028,3905.48549,5.47452,5.47922,1.93406,5.64503,3.40863,-0.66245,4.97998,0.08934,97.53318,2.14576,0.21695,1.25331,0.33523,2.73368,232.0,113.0,0.04106,3.44949,0.03368,326.2961,72.80057,326.33717,72.80974,23.113431
695.0,6.78,20.57859,19.88269,,,505.51713,110.87821,21.93362,385.6359,2334.70626,57.9526,21.05649,4.61845,7.69201,3.41579,3.39473,13.61957,2042.02508,2054.58194,637.84644,2367.22673,4.28068,4.29382,2.39244,4.60895,-1.08292,-15.425,-7.49636,0.69805,205.69198,2.19182,0.19745,1.11086,0.43803,2.6926,175.0,110.0,0.04537,3.34059,0.0409,394.59355,78.0574,394.63892,78.06638,23.367929500000002
951.0,1.69003,20.57859,19.88269,,,691.72271,143.44405,20.73722,500.82138,2977.61307,74.5292,20.75801,4.30463,7.39446,3.42701,3.45624,11.4533,4694.07514,4693.73915,842.57833,5115.19631,5.70685,5.70664,2.41783,5.95734,9.1348,21.44532,3.75655,0.32413,10.06418,2.13733,0.19866,1.04385,0.48745,2.67792,249.0,173.0,0.07939,5.57011,0.05531,548.19927,79.2513,548.27866,79.26278,25.113431
631.0,5.56715,18.09325,19.88269,,,457.4823,43.97367,9.6121,376.68098,938.39168,4.82253,21.33985,2.05121,8.48898,3.78379,3.12265,11.82174,614.21591,631.85829,140.30867,693.19143,3.72675,3.77989,1.7812,3.9591,16.41955,99.52881,58.52978,13.22719,30.48796,2.38679,0.20563,0.46744,1.4598,2.53286,162.0,21.0,0.01108,0.7388,0.0252,413.49755,90.38547,413.50863,90.3879,27.18302
