Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
595.0,9.02674,20.83706,19.88269,,,565.30487,161.53787,28.57535,401.39781,2569.77977,84.84697,15.90822,4.54583,3.39743,3.88215,3.93134,15.08561,2423.30038,2426.82011,1226.50649,3038.31349,3.86998,3.87279,2.75321,4.33332,1.32966,-11.36231,-25.94702,1.35284,246.24629,1.28139,0.23868,1.19724,0.48783,2.70603,87.0,1750.0,0.25534,22.40778,0.15782,403.51167,71.37948,403.767,71.42465,2.4931900000000002
746.0,1.29237,16.10498,19.88269,,,490.33887,127.8562,26.07507,384.94752,2082.35672,72.18343,16.28671,4.24677,3.49216,3.17504,3.19072,8.26127,2629.04432,2628.97879,670.22783,2964.12547,4.53067,4.53061,2.28757,4.81074,1.78115,-9.2538,-6.94943,0.33879,216.92131,1.28651,0.23351,1.11667,0.53494,2.64712,91.0,1445.0,0.17973,17.46186,0.14037,362.30294,73.88828,362.48267,73.92493,3.8698675
733.0,4.69232,19.24645,19.88269,,,223.26819,64.54589,28.90958,244.48577,1040.85428,52.23467,16.1258,4.6619,3.4839,2.25432,2.18161,12.43855,1226.64022,1228.45506,157.10675,1306.10102,4.35564,4.35886,1.5588,4.4945,-1.26897,3.71387,-1.14782,0.20835,342.79688,1.29627,0.2382,1.21366,0.46993,2.61646,56.0,612.0,0.09464,8.39688,0.14641,158.62766,71.04803,158.7223,71.09042,6.1969385
517.0,10.57759,20.83706,19.88269,,,478.66107,133.25021,27.83811,355.22607,2162.96282,77.2917,16.23234,4.51878,3.33338,3.83414,3.80396,15.82422,1664.59669,1662.39248,987.207,2157.09809,3.53154,3.5292,2.71965,4.02017,-4.2241,2.18853,18.8628,1.60746,83.75129,1.23213,0.23604,1.17936,0.49906,2.69213,97.0,1440.0,0.18186,17.40971,0.1363,345.22899,72.12389,345.41086,72.16189,9.5707325
666.0,1.33214,14.55413,19.88269,,,385.80541,100.78069,26.12216,325.53838,1646.64098,63.07055,16.33885,4.26806,3.58498,3.10329,3.0835,7.57254,1702.82,1708.51221,466.04958,1938.69089,4.10684,4.11369,2.14852,4.38205,-3.54619,10.49568,14.43549,0.82189,53.90521,1.31649,0.23385,1.11706,0.53435,2.6493,73.0,1004.0,0.15112,13.3044,0.14972,284.8736,73.83867,285.02472,73.87784,10.794313500000001
748.0,4.75196,19.60433,19.88269,,,184.75361,54.77296,29.64649,221.22257,869.97138,47.46959,15.88323,4.70882,3.3104,1.95096,2.0024,12.74799,1080.62606,1080.61611,106.33724,1133.7897,4.43819,4.43817,1.39223,4.54606,-0.43609,-12.95871,8.51696,0.912,146.67514,1.25053,0.24425,1.21378,0.46174,2.58832,44.0,603.0,0.09164,8.17088,0.16704,129.88901,70.30391,129.98065,70.35351,13.2178145
782.0,5.46774,20.99612,19.88269,,,189.36527,47.17639,24.9129,227.92045,927.95839,40.03439,19.66998,4.90036,6.32516,1.9597,1.96774,13.05442,988.80026,992.93968,90.66699,1036.20346,4.5693,4.57886,1.38363,4.67755,-1.27642,5.15594,6.00156,0.50266,49.21595,1.92939,0.20228,1.23158,0.42791,2.59455,92.0,208.0,0.04532,3.56978,0.09598,142.14356,75.06316,142.18889,75.0871,15.323193
993.0,1.27249,20.99612,19.88269,,,371.70948,85.3537,22.96248,358.63819,1690.89777,56.95255,19.81048,4.54898,6.4971,2.45455,2.40406,10.9983,2696.04756,2705.92309,250.41111,2826.19088,5.60896,5.61923,1.70941,5.74275,-1.0878,0.84045,16.02379,0.37437,87.01083,1.96778,0.20272,1.13273,0.47172,2.64909,150.0,400.0,0.07387,6.09609,0.08648,286.2819,77.01765,286.35578,77.03752,17.1134305
986.0,1.37191,20.95636,19.88269,,,378.07141,87.28092,23.08583,361.05271,1794.86529,58.72034,20.56423,4.74742,7.09007,2.46597,2.45646,11.09777,2970.5588,2970.46159,265.96742,3103.4939,5.8207,5.82061,1.74169,5.94952,-1.34032,-10.64439,9.59814,0.30378,137.95481,2.06866,0.19901,1.16003,0.44029,2.66435,177.0,456.0,0.0705,6.34848,0.08071,290.72,76.89552,290.79049,76.91417,19.1164135
