Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
893.0,1.69003,19.42539,19.88269,,,291.76922,136.24785,46.69713,302.23499,846.67737,38.69259,6.21424,2.90187,1.56135,2.26017,2.39326,10.8964,3716.43812,3729.62461,340.8604,3893.46157,5.22197,5.23122,1.58146,5.34489,3.90699,-6.03805,-29.49632,0.50931,258.3262,1.50752,0.65033,0.71805,0.64515,2.5561,29.0,45.0,0.10393,3.47195,0.07622,155.41744,53.26725,155.52137,53.30287,19.055771
188.0,16.86052,20.57859,19.88269,,,75.52555,37.81301,50.06652,103.18823,255.33932,24.62191,6.75268,3.38083,1.8774,2.61948,2.61486,18.72672,102.21318,100.10398,112.41802,157.36759,1.64381,1.62676,1.72391,2.03965,-0.75824,-2.23179,1.24472,81.04269,113.30436,1.66814,0.61466,0.81454,0.51281,2.53826,8.0,17.0,0.01628,0.8234,0.04304,37.69626,49.91193,37.71254,49.93348,19.8719555
951.0,1.69003,20.57859,19.88269,,,385.28917,187.60796,48.69277,360.54219,1190.69648,47.71449,6.34673,3.0904,1.33376,2.55167,2.5519,11.34077,5704.53388,5706.52366,596.67274,6003.86514,5.51352,5.51448,1.78314,5.65632,-9.37914,-29.90699,-22.59604,0.41963,217.03311,1.2609,0.61878,0.78691,0.5663,2.613,23.0,88.0,0.2247,6.67282,0.11963,197.45651,51.24891,197.68121,51.30723,20.113431
785.0,1.69003,17.27806,19.88269,,,188.13582,73.3764,39.00182,227.2109,575.31651,84.88769,7.84062,3.05799,-4.03338,1.89662,1.90665,9.34088,1441.53532,1443.35759,148.06422,1516.47857,4.43471,4.43751,1.42127,4.54852,0.81428,-9.96418,1.79189,0.4483,169.85311,-3.08652,0.48538,0.80352,0.83217,2.46021,49.0,1480.0,0.28592,34.20923,0.38814,114.4735,60.8462,114.75942,60.99818,23.948404500000002
823.0,4.23501,20.57859,19.88269,,,213.49272,103.24279,48.35893,247.91607,576.11995,37.56732,5.58024,2.69855,1.36164,2.06179,2.12831,12.0681,2177.22433,2187.78648,211.29922,2288.15501,4.59168,4.6028,1.43044,4.7072,-8.65456,-13.63181,1.30389,0.3994,174.31911,1.46407,0.71797,0.67355,0.73113,2.4773,8.0,45.0,0.11808,3.63114,0.11425,110.13184,51.58576,110.24993,51.64107,24.24068
951.0,1.69003,20.57859,19.88269,,,478.00035,212.39434,44.43393,406.01075,1613.13995,157.26914,7.59502,3.37477,-7.51652,2.80131,2.89204,11.09395,6982.58287,6963.08166,873.38826,7409.5264,5.73917,5.73115,2.02976,5.91202,15.59428,26.08617,22.48125,0.32422,40.86696,-5.93799,0.43781,1.01492,0.73316,2.62225,63.0,6364.0,1.29715,142.07407,0.60702,264.30885,55.2947,265.606,55.56607,26.113431
197.0,16.68158,20.57859,19.88269,,,69.57818,30.02742,43.15637,97.25823,179.87341,35.2778,5.99031,2.5852,-3.69145,2.27358,2.53477,18.57721,70.91662,86.41153,81.15475,119.24145,1.53738,1.69704,1.64461,1.99352,-0.99275,2.35069,-4.49325,75.08051,352.29222,-3.69742,0.56825,0.75946,0.93732,2.41686,16.0,570.0,0.1142,12.01292,0.37889,39.43656,56.67949,39.55076,56.84363,27.8630085
951.0,1.69003,20.57859,19.88269,,,484.57825,189.08286,39.02009,409.71227,1251.17899,143.9566,6.61709,2.582,-2.3817,2.9259,2.87824,11.37799,5969.96675,5985.31907,770.47352,6362.87967,5.62057,5.62779,2.01917,5.80258,2.89179,-17.21165,62.35385,0.71051,105.44724,-2.15959,0.52983,0.73646,0.88802,2.55185,38.0,2989.0,0.72192,61.19429,0.38035,294.77347,60.83093,295.49539,60.97991,28.113431
951.0,1.69003,20.57859,19.88269,,,376.37162,162.65322,43.21612,355.97046,1020.34372,141.75293,6.27312,2.711,-5.00027,2.52393,2.41434,11.18462,4795.28363,4795.34422,537.50155,5064.0647,5.43258,5.43262,1.81882,5.58276,-6.71359,-40.31254,-40.89385,0.77132,225.41102,-4.78257,0.50038,0.86366,0.81221,2.55587,21.0,3680.0,0.80558,82.00079,0.49283,212.91282,56.56984,213.7184,56.78388,30.113431
855.0,1.69003,18.66985,19.88269,,,304.54125,123.44274,40.534,305.65725,891.31734,105.16423,7.22049,2.92675,-2.84592,2.39774,2.47239,10.24114,2955.21931,2956.04094,360.08255,3135.6714,4.8946,4.89528,1.70853,5.04182,0.81156,17.22031,-20.84944,0.59664,309.56006,-2.36487,0.50165,0.80802,0.767,2.54672,39.0,2249.0,0.51946,49.70147,0.41905,180.57905,59.29543,181.09851,59.466,32.017994
