Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69003,20.57859,19.88269,,,917.27041,303.97079,33.13862,589.62582,6219.0359,120.40711,20.45932,6.77994,3.67078,3.91935,3.94175,11.38574,10375.2321,10371.94234,2371.33758,11559.25601,5.83548,5.83455,2.78981,6.15946,-23.43026,118.05422,-133.59481,1.27939,311.47511,1.07651,0.19293,1.71768,0.32288,2.77951,302.0,3823.0,0.28053,36.56437,0.0922,613.01909,66.83079,613.29962,66.86138,2.1134310000000003
951.0,1.69003,20.57859,19.88269,,,804.72827,266.18008,33.07701,546.53095,4507.01812,121.86601,16.93221,5.60067,2.26239,3.73277,3.61734,11.33834,8803.54947,8799.22963,1799.253,9701.01605,5.74771,5.7463,2.59844,6.03357,9.1924,10.14655,-23.89705,0.21228,292.9408,0.80169,0.22236,1.48751,0.37941,2.75283,113.0,4958.0,0.41406,50.75448,0.15532,538.13414,66.87153,538.5482,66.92299,4.113431
951.0,1.69003,20.57859,19.88269,,,382.05254,122.13508,31.96814,358.69696,2067.40478,81.44061,16.9272,5.41131,3.04936,2.54828,2.51708,11.13859,3788.22908,3788.22027,393.86303,3985.15619,5.56494,5.56493,1.79438,5.70775,2.4007,-1.52227,-6.03803,0.10514,255.81423,1.08087,0.22398,1.4273,0.39616,2.7039,72.0,1886.0,0.17781,20.08458,0.14537,259.73965,67.98532,259.91746,68.03186,6.113431
745.0,5.78586,20.57859,19.88269,,,1003.87923,376.79547,37.53394,591.66055,6524.56817,143.69362,17.31594,6.49936,0.61973,4.68824,4.6404,13.25972,8888.1674,8892.67564,4050.86751,10915.85528,4.85632,4.85755,3.2785,5.38183,3.761,-10.51435,-1.98269,0.12676,190.71057,0.21474,0.20209,1.85726,0.31685,2.79415,91.0,13138.0,0.94672,126.92551,0.25063,626.13704,62.37175,627.08376,62.46606,7.3182225
951.0,1.69003,20.57859,19.88269,,,1422.29734,490.11308,34.45926,764.17931,8707.82073,164.39607,17.76696,6.12236,1.65315,4.90724,4.84851,11.20672,17348.46277,17310.22548,5785.3023,20221.99527,5.94707,5.94052,3.43428,6.42074,33.70508,54.47312,-61.53057,0.40675,311.40375,0.55828,0.20636,1.66985,0.34898,2.79086,198.0,13601.0,1.03984,133.94419,0.21171,931.14442,65.46763,932.18426,65.54074,9.113431
911.0,1.31226,19.40551,19.88269,,,900.8794,278.92467,30.96138,577.70003,4814.65189,124.87349,17.26148,5.34439,3.15689,4.03436,3.90658,10.43914,8666.58392,8679.47254,2206.26137,9776.15892,5.56961,5.57375,2.81015,5.91541,-1.24484,31.0452,-24.79725,0.35216,321.43723,1.09732,0.22014,1.40644,0.40514,2.74879,126.0,4773.0,0.42833,50.10639,0.15333,621.5264,68.99108,621.95473,69.03862,11.035888499999999
654.0,7.83378,20.81718,19.88269,,,1587.53734,483.70426,30.46884,781.41963,8528.61863,160.68722,17.63189,5.37223,3.15551,6.25367,6.20558,14.48177,11455.65895,11341.44459,9271.24408,16034.17381,4.8625,4.8382,4.3744,5.75272,-76.53077,-35.98934,27.34557,1.25329,140.79344,1.0738,0.21189,1.43793,0.39929,2.78141,221.0,10585.0,0.81829,100.58062,0.16889,1103.01478,69.47961,1103.83307,69.53116,12.432548
951.0,1.82921,20.71777,19.88269,,,2170.74468,619.80022,28.55242,987.75394,10887.21168,190.59074,17.56568,5.01543,3.08102,5.92825,6.02963,10.96361,23230.56615,23065.92386,11243.96976,28770.22988,6.1172,6.09548,4.25581,6.8076,-73.37714,-354.43728,-24.88518,1.69513,183.71981,1.0524,0.21542,1.32541,0.45358,2.76863,322.0,12577.0,1.1092,129.1312,0.17864,1549.83525,71.39648,1550.94445,71.44758,13.127349
950.0,1.74968,20.61835,19.88269,,,1853.23328,467.84311,25.2447,895.94861,8349.35541,161.9268,17.84649,4.50529,4.53572,5.73141,5.59792,11.60385,16894.37186,16749.33278,7382.5416,20513.12312,6.0018,5.97598,3.96747,6.61342,-16.74012,290.4073,-13.91962,1.74951,357.11165,1.52491,0.21971,1.14899,0.52033,2.73248,330.0,6032.0,0.62534,67.56524,0.13349,1384.76482,74.72156,1385.39017,74.7553,15.1184015
671.0,1.57073,14.89214,19.88269,,,1195.08357,246.80459,20.65166,651.72713,4816.88776,105.75263,19.51701,4.03059,6.22377,5.27156,5.39804,8.29471,5465.75459,5472.72957,3606.28348,7272.38382,4.69714,4.70014,3.81539,5.4181,-18.87852,13.44249,-21.80909,0.79429,302.00222,1.91334,0.20503,1.00726,0.53505,2.7011,294.0,1651.0,0.1934,19.58546,0.0783,948.08558,79.33216,948.27898,79.34834,16.8231435
