#Location,Fraser Experimental Forest,,,,,,
#Site,Trees,,,,,,
#Pit_ID,fraser2,,,,,,
#Date_Time,2022-02-24-1100,,,,,,
#UTM_Zone,,,,,,,
#Easting,,,,,,,
#Northing,,,,,,,
#Top(cm),Bottom(cm),grain_size,grain_type,secondary_grain_type,hand_hardness,manual_wetness,comments
74,68,<1,DF,-,F,D,"branches, fragments"
68,42,<1,FC,-,F,D,
42,25,<1,FC,-,F+,D,some large chains up to 5mm
25,9,"1,2",FC,-,F,D,
9,0,<1,FC,MF,4F,D,facets mixed with old melt freeze
