#Location,"Yellowstone Park, MT"
#Site,Bacon Rind
#Pit_ID,baconrind1
#Date_Time,2022-04-10-1600
#UTM_Zone,12T
#Easting,495173
#Northing,4977549
#Slope,0
#Aspect,N-facing
#Air_Temp(deg_c),-4.7
#Total_depth(cm),54
#Surveyors,"Kaitlin Meyer, Ingrid Meyer"
#Weather,n/a
#Precip,S-1 graupel
#Sky,OVC
#Wind,Calm
#Ground_condition,not frozen
#Ground_vegetation,grass and the occasional fallen log
#Vegetation_height,n/a
#Tree_canopy,in burned glade
#Comments,Late season melt freeze with a bit of fresh snow on the top
