Location,Height,Percent Difference,Error,GrainType,SSA_mCT,SSA_IC,Method,Air Temp,Snow Temp,Moisture,zscore
baconrind1,0.9444444444444444,0.5104298341620829,0.4066473615124569,MF,5.693743466588029,8.6,normal,-4.7,,D,-0.7805043306508629
baconrind1,0.8888888888888888,-0.18128278836973752,0.1993523646342349,MF,6.962110871774556,5.7,normal,-4.7,-2.0,D,-1.0536573639323994
baconrind1,0.8333333333333334,-0.25352790052462376,0.2903314637557407,MF,7.100064428027333,5.3,normal,-4.7,,D,-1.091333644385025
berthoud1,0.984,0.2952175389317672,0.2572458025648989,MFcr,15.20980021336617,19.7,stacked,-9.8,,D,0.2650124519095011
berthoud1,0.984,0.3741140387651743,0.31516096754961165,MFcr,15.20980021336617,20.9,stacked,-9.8,,D,0.3780412932673783
berthoud1,0.84,0.14160732567433612,0.1322439683285522,FCxr,18.219925128558234,20.8,normal,-9.8,,D,0.36862222315422205
berthoud1,0.84,0.08123386133578943,0.07806317477811114,FCxr,18.219925128558234,19.7,normal,-9.8,,D,0.2650124519095011
berthoud1,0.84,0.21295778352898218,0.1924643887145289,FCxr,18.219925128558234,22.1,normal,-9.8,,D,0.4910701346252557
berthoud1,0.824,0.07131369675589104,0.06885842242783712,FCxr,17.828578181944142,19.1,normal,-9.8,,D,0.20849803123056274
berthoud1,0.824,0.04326883558427085,0.042352562551464905,FCxr,17.828578181944142,18.6,normal,-9.8,,D,0.16140268066478058
berthoud1,0.824,0.1610572525050755,0.14905412831462894,FCxr,17.828578181944142,20.7,normal,-9.8,,D,0.3592031530410655
berthoud1,0.808,-0.002656023908047365,0.0026595558299819743,FCxr,17.44633789054516,17.4,normal,-9.8,,D,0.048373839306903116
berthoud1,0.808,0.07185818120227098,0.06936592654288014,FCxr,17.44633789054516,18.7,normal,-9.8,,D,0.17082175077793682
berthoud1,0.808,0.037467009612893426,0.03677802824401258,FCxr,17.44633789054516,18.1,normal,-9.8,,D,0.11430733009899842
berthoud1,0.792,0.03328294067800885,0.032738130057699176,FCxr,16.645973065919275,17.2,normal,-9.8,,D,0.029535699080590318
berthoud1,0.792,0.06932769442259064,0.06700504188819191,FCxr,16.645973065919275,17.8,normal,-9.8,,D,0.08605011975952905
berthoud1,0.792,0.05130531755029974,0.05002211724539313,FCxr,16.645973065919275,17.5,normal,-9.8,,D,0.057792909420059685
berthoud1,0.776,0.13885080340166372,0.12983682936727808,FCxr,15.541983152781206,17.7,normal,-9.8,,D,0.07663104964637248
berthoud1,0.776,0.05520639411227593,0.0537234549974449,FCxr,15.541983152781206,16.4,normal,-9.8,,D,-0.045816861824661215
berthoud1,0.76,0.04039013359949988,0.039590598811852416,FCxr,14.609904024571678,15.2,normal,-9.8,-5.8,D,-0.15884570318253835
berthoud1,0.76,0.04723480553107563,0.04614498093082429,FCxr,14.609904024571678,15.3,normal,-9.8,-5.8,D,-0.14942663306938178
berthoud1,0.744,-0.0004999852677259986,0.0005001102916150214,FCxr,13.906953271754832,13.9,normal,-9.8,,D,-0.2812936146535719
berthoud1,0.744,-0.058025165971741816,0.05975892679451425,FCxr,13.906953271754832,13.1,normal,-9.8,,D,-0.3566461755588234
berthoud1,0.728,0.022646662218659443,0.02239309775817998,FCxr,13.689967920715278,14.0,normal,-9.8,,D,-0.2718745445404155
berthoud1,0.728,0.08108361434544004,0.07792441763176645,FCxr,13.689967920715278,14.8,normal,-9.8,,D,-0.19652198363516393
berthoud1,0.712,0.10367019551041189,0.09856126281739565,FCxr,13.862836979958713,15.3,normal,-9.8,,D,-0.14942663306938178
berthoud1,0.712,0.1253107875792434,0.11792231829018666,FCxr,13.862836979958713,15.6,normal,-9.8,,D,-0.12116942272991257
berthoud1,0.696,0.46829277845484735,0.37944670303496075,FCxr,11.033221873533977,16.2,normal,-9.8,,D,-0.06465500205097402
berthoud1,0.696,0.359530350421155,0.30474738361130393,FCxr,11.033221873533977,15.0,normal,-9.8,,D,-0.17768384340885116
