#Location,Bonnie Park
#Site,1
#Pit_ID,clebp1
#Date_Time,2022-01-31-13:40
#UTM_Zone,17T
#Easting,430214
#Northing,4576024
#Slope,0
#Aspect,0
#Air_Temp(deg_c),-4.5
#Total_depth(cm),28
#Surveyors,Kaitlin Meyer
#Weather,N/A
#Precip,none
#Sky,OVC
#Wind,calm
#Ground_condition,frozen
#Ground_vegetation,grass
#Vegetation_height,0
#Tree_canopy,no trees
#Comments,N/A
