Location,Height,Percent Difference,Error,GrainType,SSA_mCT,SSA_IC,Method,Air Temp,Snow Temp,Moisture,zscore
baconrind1,1.0,14.616692963297577,110.81836922335195,PP,7.581630776648054,118.4,compacted,-4.7,-2.4,D,9.5616346535949
baconrind1,1.0,11.226920926500721,85.11836922335195,PP,7.581630776648054,92.7,mixed,-4.7,,D,7.140933634513698
baconrind1,0.9444444444444444,0.5104298341620829,2.9062565334119705,MF,5.693743466588029,8.6,normal,-4.7,,D,-0.7805043306508629
baconrind1,0.8888888888888888,-0.18128278836973752,1.2621108717745555,MF,6.962110871774556,5.7,normal,-4.7,-2.0,D,-1.0536573639323994
baconrind1,0.8333333333333334,-0.25352790052462376,1.8000644280273335,MF,7.100064428027333,5.3,normal,-4.7,,D,-1.091333644385025
baconrind1,0.7222222222222222,-0.2708460721287504,2.0801341746167212,MF,7.680134174616721,5.6,normal,-4.7,-0.2,M,-1.0630764340455559
baconrind1,0.6666666666666666,0.19095102395198185,1.4109471984846218,MF,7.389052801515379,8.8,normal,-4.7,-0.2,M,-0.76166619042455
baconrind1,0.6111111111111112,-0.40989051535526083,2.98678340526709,MF,7.28678340526709,4.3,shaved,-4.7,-0.2,M,-1.1855243455165894
baconrind1,0.5555555555555556,-0.05260583831803135,0.4164515714185706,MF,7.916451571418571,7.5,shaved,-4.7,-0.2,M,-0.8841141018955836
baconrind1,0.5,0.1961733626573269,1.3940066169697571,MF,7.105993383030243,8.5,shaved,-4.7,-0.1,M,-0.7899234007640192
baconrind1,0.4444444444444444,-0.27455441079408643,1.8923156669449108,MF,6.892315666944911,5.0,shaved,-4.7,-0.1,M,-1.1195908547244944
baconrind1,0.3888888888888889,-0.17981211627823418,1.2715504521736474,MF,7.071550452173647,5.8,shaved,-4.7,-0.1,M,-1.044238293819243
baconrind1,0.3333333333333333,-0.21000970807606253,1.4621108717745557,MF,6.962110871774556,5.5,shaved,-4.7,-0.1,M,-1.0724955041587123
baconrind1,0.2777777777777778,-0.01646429403399257,0.09374346658802946,MF,5.693743466588029,5.6,shaved,-4.7,-0.1,M,-1.0630764340455559
baconrind1,0.2222222222222222,-0.19816775861557545,1.3592901558857626,MF,6.859290155885763,5.5,shaved,-4.7,-0.1,M,-1.0724955041587123
baconrind1,0.16666666666666666,-0.4469496814682569,3.8791379358449776,MF,8.679137935844977,4.8,shaved,-4.7,-0.1,M,-1.1384289949508073
baconrind1,0.1111111111111111,-0.36689082581226046,2.781630776648054,MF,7.581630776648054,4.8,shaved,-4.7,-0.1,M,-1.1384289949508073
berthoud1,1.0,1.1964627942295418,27.399543806457306,DF,22.90045619354269,50.3,normal,-9.8,-8.9,D,3.1472479065353696
berthoud1,1.0,1.152795541859173,26.399543806457306,DF,22.90045619354269,49.3,normal,-9.8,-8.9,D,3.053057205403805
berthoud1,1.0,1.1134950147258416,25.499543806457307,DF,22.90045619354269,48.4,normal,-9.8,-8.9,D,2.9682855743853973
berthoud1,0.984,0.2952175389317672,4.490199786633829,MFcr,15.20980021336617,19.7,stacked,-9.8,,D,0.2650124519095011
berthoud1,0.984,0.3741140387651743,5.690199786633828,MFcr,15.20980021336617,20.9,stacked,-9.8,,D,0.3780412932673783
berthoud1,0.968,1.6013444194593074,19.575551840763296,FCxr<1,12.224448159236703,31.8,normal,-9.8,,D,1.4047199356014297
berthoud1,0.968,1.3477542402038403,16.475551840763295,FCxr<1,12.224448159236703,28.7,normal,-9.8,,D,1.1127287620935802
berthoud1,0.968,1.1023443893114528,13.475551840763297,FCxr<1,12.224448159236703,25.7,normal,-9.8,,D,0.8301566586988871
berthoud1,0.952,1.9807630089780799,21.596751435082304,FCxr<1,10.903248564917694,32.5,normal,-9.8,,D,1.4706534263935247
berthoud1,0.952,1.9532482735105903,21.296751435082307,FCxr<1,10.903248564917694,32.2,normal,-9.8,,D,1.4423962160540555
berthoud1,0.952,1.8707040671081203,20.396751435082308,FCxr<1,10.903248564917694,31.3,normal,-9.8,,D,1.3576245850356474
berthoud1,0.936,0.6950923349748331,14.270144910709732,FCxr<1,20.529855089290265,34.8,normal,-9.8,,D,1.6872920389961223
berthoud1,0.936,0.6609956500759143,13.570144910709736,FCxr<1,20.529855089290265,34.1,normal,-9.8,,D,1.6213585482040276
berthoud1,0.936,0.5928022802780762,12.170144910709737,FCxr<1,20.529855089290265,32.7,normal,-9.8,,D,1.4894915666198378
berthoud1,0.92,0.5812060885271089,12.607697997829998,FCxr<1,21.69230200217,34.3,normal,-9.8,-7.6,D,1.64019668843034
berthoud1,0.92,0.6226954611123686,13.507697997830004,FCxr<1,21.69230200217,35.2,normal,-9.8,-7.6,D,1.7249683194487486
berthoud1,0.92,0.6042557399633641,13.107697997829998,FCxr<1,21.69230200217,34.8,normal,-9.8,-7.6,D,1.6872920389961223
berthoud1,0.904,0.46779174021922565,9.816096660007236,FCxr<1,20.983903339992764,30.8,normal,-9.8,,D,1.3105292344698654
berthoud1,0.904,0.47732285541545433,10.016096660007236,FCxr<1,20.983903339992764,31.0,normal,-9.8,,D,1.329367374696178
berthoud1,0.904,0.4058394914437388,8.516096660007236,FCxr<1,20.983903339992764,29.5,normal,-9.8,,D,1.1880813229988316
berthoud1,0.888,0.28499804034889736,6.077010283563961,FCxr<1,21.322989716436037,27.4,normal,-9.8,,D,0.9902808506225464
berthoud1,0.888,0.41631170870571904,8.877010283563962,FCxr<1,21.322989716436037,30.2,normal,-9.8,,D,1.2540148137909266
berthoud1,0.888,0.25685939712957856,5.477010283563963,FCxr<1,21.322989716436037,26.8,normal,-9.8,,D,0.933766429943608
berthoud1,0.872,0.27649591056700734,5.6967220871723825,FCxr<1,20.603277912827618,26.3,normal,-9.8,,D,0.8866710793778259
berthoud1,0.872,0.2036919612951248,4.1967220871723825,FCxr<1,20.603277912827618,24.8,normal,-9.8,,D,0.7453850276804793
berthoud1,0.872,0.2085455579132502,4.29672208717238,FCxr<1,20.603277912827618,24.9,normal,-9.8,,D,0.7548040977936356
berthoud1,0.856,0.366258143239148,6.835884345000743,FCxr<1,18.664115654999257,25.5,normal,-9.8,,D,0.8113185184725743
berthoud1,0.856,0.33946876788151764,6.335884345000743,FCxr<1,18.664115654999257,25.0,normal,-9.8,,D,0.7642231679067921
berthoud1,0.856,0.3126793925238873,5.835884345000743,FCxr<1,18.664115654999257,24.5,normal,-9.8,,D,0.7171278173410099
berthoud1,0.84,0.14160732567433612,2.5800748714417665,FCxr,18.219925128558234,20.8,normal,-9.8,,D,0.36862222315422205
berthoud1,0.84,0.08123386133578943,1.480074871441765,FCxr,18.219925128558234,19.7,normal,-9.8,,D,0.2650124519095011
berthoud1,0.84,0.21295778352898218,3.880074871441767,FCxr,18.219925128558234,22.1,normal,-9.8,,D,0.4910701346252557
berthoud1,0.824,0.07131369675589104,1.2714218180558596,FCxr,17.828578181944142,19.1,normal,-9.8,,D,0.20849803123056274
berthoud1,0.824,0.04326883558427085,0.7714218180558596,FCxr,17.828578181944142,18.6,normal,-9.8,,D,0.16140268066478058
berthoud1,0.824,0.1610572525050755,2.8714218180558575,FCxr,17.828578181944142,20.7,normal,-9.8,,D,0.3592031530410655
berthoud1,0.808,-0.002656023908047365,0.046337890545160576,FCxr,17.44633789054516,17.4,normal,-9.8,,D,0.048373839306903116
berthoud1,0.808,0.07185818120227098,1.2536621094548401,FCxr,17.44633789054516,18.7,normal,-9.8,,D,0.17082175077793682
berthoud1,0.808,0.037467009612893426,0.6536621094548423,FCxr,17.44633789054516,18.1,normal,-9.8,,D,0.11430733009899842
berthoud1,0.792,0.03328294067800885,0.5540269340807242,FCxr,16.645973065919275,17.2,normal,-9.8,,D,0.029535699080590318
berthoud1,0.792,0.06932769442259064,1.1540269340807257,FCxr,16.645973065919275,17.8,normal,-9.8,,D,0.08605011975952905
berthoud1,0.792,0.05130531755029974,0.8540269340807249,FCxr,16.645973065919275,17.5,normal,-9.8,,D,0.057792909420059685
berthoud1,0.776,0.13885080340166372,2.158016847218793,FCxr,15.541983152781206,17.7,normal,-9.8,,D,0.07663104964637248
berthoud1,0.776,0.05520639411227593,0.8580168472187921,FCxr,15.541983152781206,16.4,normal,-9.8,,D,-0.045816861824661215
berthoud1,0.76,0.04039013359949988,0.590095975428321,FCxr,14.609904024571678,15.2,normal,-9.8,-5.8,D,-0.15884570318253835
berthoud1,0.76,0.04723480553107563,0.6900959754283225,FCxr,14.609904024571678,15.3,normal,-9.8,-5.8,D,-0.14942663306938178
berthoud1,0.744,-0.0004999852677259986,0.006953271754831292,FCxr,13.906953271754832,13.9,normal,-9.8,,D,-0.2812936146535719
berthoud1,0.744,-0.058025165971741816,0.806953271754832,FCxr,13.906953271754832,13.1,normal,-9.8,,D,-0.3566461755588234
berthoud1,0.728,0.022646662218659443,0.31003207928472243,FCxr,13.689967920715278,14.0,normal,-9.8,,D,-0.2718745445404155
berthoud1,0.728,0.08108361434544004,1.1100320792847231,FCxr,13.689967920715278,14.8,normal,-9.8,,D,-0.19652198363516393
berthoud1,0.712,0.10367019551041189,1.4371630200412877,FCxr,13.862836979958713,15.3,normal,-9.8,,D,-0.14942663306938178
berthoud1,0.712,0.1253107875792434,1.7371630200412866,FCxr,13.862836979958713,15.6,normal,-9.8,,D,-0.12116942272991257
berthoud1,0.696,0.46829277845484735,5.166778126466022,FCxr,11.033221873533977,16.2,normal,-9.8,,D,-0.06465500205097402
berthoud1,0.696,0.359530350421155,3.966778126466023,FCxr,11.033221873533977,15.0,normal,-9.8,,D,-0.17768384340885116
berthoud1,0.68,0.4887126672327087,5.153975676055795,FCxr,10.546024323944204,15.7,normal,-9.8,-4.2,D,-0.11175035261675619
berthoud1,0.68,0.39389020435164446,4.153975676055795,FCxr,10.546024323944204,14.7,normal,-9.8,-4.2,D,-0.2059410537483205
berthoud1,0.664,0.4825181222931041,5.142457429416684,FCxr,10.657542570583317,15.8,normal,-9.8,,D,-0.10233128250359962
berthoud1,0.664,0.4825181222931041,5.142457429416684,FCxr,10.657542570583317,15.8,normal,-9.8,,D,-0.10233128250359962
berthoud1,0.648,0.17467117093148066,2.394036664547441,FCxr,13.70596333545256,16.1,normal,-9.8,,D,-0.07407407216413024
berthoud1,0.648,0.10900632286698779,1.4940366645474388,FCxr,13.70596333545256,15.2,normal,-9.8,,D,-0.15884570318253835
berthoud1,0.632,0.0802309870365304,1.114080988224103,FCxr,13.885919011775897,15.0,normal,-9.8,,D,-0.17768384340885116
berthoud1,0.632,0.03702174755506921,0.5140809882241033,FCxr,13.885919011775897,14.4,normal,-9.8,,D,-0.2341982640877897
berthoud1,0.616,0.2550690497790435,3.129758770873053,RG,12.270241229126947,15.4,normal,-9.8,,D,-0.14000756295622538
berthoud1,0.616,0.2713686478281219,3.3297587708730525,RG,12.270241229126947,15.6,normal,-9.8,,D,-0.12116942272991257
berthoud1,0.6,0.14919446757503738,2.038256541445751,RG,13.661743458554248,15.7,normal,-9.8,-3.4,D,-0.11175035261675619
berthoud1,0.6,0.17847330751325505,2.438256541445753,RG,13.661743458554248,16.1,normal,-9.8,-3.4,D,-0.07407407216413024
berthoud1,0.584,0.025988096489902135,0.36728242792755417,RG,14.132717572072446,14.5,normal,-9.8,,D,-0.2247791939746333
berthoud1,0.584,0.1533521360541659,2.167282427927555,RG,14.132717572072446,16.3,normal,-9.8,,D,-0.055235931937817444
berthoud1,0.568,0.05517301525855581,0.8052370774223796,RG,14.59476292257762,15.4,normal,-9.8,,D,-0.14000756295622538
berthoud1,0.568,0.13054251634845263,1.9052370774223792,RG,14.59476292257762,16.5,normal,-9.8,,D,-0.036397791711504646
berthoud1,0.552,0.20110323130870955,2.762629580954693,RG,13.737370419045307,16.5,normal,-9.8,,D,-0.036397791711504646
berthoud1,0.552,0.12102968255479561,1.6626295809546932,RG,13.737370419045307,15.4,normal,-9.8,,D,-0.14000756295622538
berthoud1,0.536,0.18747528314031556,2.5260353397103987,RG,13.473964660289601,16.0,normal,-9.8,,D,-0.08349314227728681
berthoud1,0.536,0.03161915222814917,0.4260353397103991,RG,13.473964660289601,13.9,normal,-9.8,,D,-0.2812936146535719
berthoud1,0.536,0.335909693532855,4.526035339710399,RG,13.473964660289601,18.0,normal,-9.8,,D,0.10488825998584185
berthoud1,0.512,0.09246095119219758,1.2610685729867974,RG,13.638931427013203,14.9,shaved,-9.8,-3.3,D,-0.18710291352200753
berthoud1,0.512,0.129120714655023,1.7610685729867974,RG,13.638931427013203,15.4,shaved,-9.8,-3.3,D,-0.14000756295622538
berthoud1,0.496,0.04265354255229626,0.5849936087156618,RG,13.715006391284339,14.3,shaved,-9.8,,D,-0.2436173342009461
berthoud1,0.496,0.10098381066710996,1.3849936087156607,RG,13.715006391284339,15.1,shaved,-9.8,,D,-0.16826477329569475
berthoud1,0.48,0.20137737304879716,2.2293736519708993,RG,11.070626348029101,13.3,shaved,-9.8,,D,-0.3378080353325104
berthoud1,0.464,-0.007180140485661992,0.10631139589699856,RG,14.806311395896998,14.7,shaved,-9.8,,D,-0.2059410537483205
berthoud1,0.464,-0.013934017080997601,0.2063113958969982,RG,14.806311395896998,14.6,shaved,-9.8,,D,-0.2153601238614769
berthoud1,0.448,-0.04935373683222982,0.7372069824188454,RG,14.937206982418845,14.2,shaved,-9.8,-2.7,D,-0.2530364043141027
berthoud1,0.448,0.017593183109162448,0.2627930175811546,RG,14.937206982418845,15.2,shaved,-9.8,-2.7,D,-0.15884570318253835
berthoud1,0.432,0.2728293235699638,2.807968101129365,RG,10.292031898870635,13.1,shaved,-9.8,-2.7,D,-0.3566461755588234
