Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
707.0,0.93449,14.97167,19.88269,,,230.99731,94.31067,40.82761,246.0954,967.90672,26.92576,10.26296,4.19012,2.90524,2.27327,2.16752,8.63214,1590.10827,1589.01024,236.5918,1707.85516,4.10423,4.10281,1.58314,4.25348,2.97937,-6.14747,-19.54138,0.86865,252.44711,1.69848,0.41041,0.99479,0.42187,2.64466,22.0,25.0,0.01918,0.90253,0.02033,136.66747,59.16409,136.68664,59.17239,60.795308
804.0,4.61278,20.57859,19.88269,,,1276.81974,199.84861,15.65206,732.97157,2382.29,18.64464,11.92047,1.8658,3.30276,5.28712,4.06225,13.36739,4629.88441,4754.5412,1293.22491,5338.82526,4.81024,4.87457,2.54225,5.16541,126.3139,771.27843,450.00776,14.36377,30.38176,1.6624,0.33719,0.46419,1.96868,2.64169,117.0,69.0,0.04184,2.35201,0.02093,1076.92929,84.34466,1076.97113,84.34794,63.2595685
951.0,1.69003,20.57859,19.88269,,,526.049,184.24149,35.02364,428.61274,2635.30316,114.32401,14.30353,5.00962,3.22004,3.01515,2.97707,11.30174,5884.35646,5890.84291,817.09393,6296.14665,5.64745,5.65056,2.10445,5.84171,1.45684,24.31315,9.19828,0.29392,20.71099,1.35073,0.27797,1.26,0.39668,2.72056,58.0,1548.0,0.18052,18.71473,0.09789,341.62699,64.94205,341.80751,64.97636,65.11343099999999
785.0,1.69003,17.27806,19.88269,,,160.88212,35.15691,21.85259,221.1942,450.94113,4.90706,12.82653,2.80293,4.14194,1.61063,1.43231,9.59875,740.54168,743.06584,33.91019,758.75885,4.58575,4.59356,0.9813,4.64182,0.69759,39.44518,11.62459,3.32022,16.41246,1.93752,0.32819,0.66586,0.63818,2.54854,25.0,17.0,0.0131,0.68384,0.03724,125.71212,78.13927,125.72521,78.14741,66.94840450000001
590.0,8.74838,20.45929,19.88269,,,100.33688,47.86223,47.70153,145.74169,415.44943,16.56785,8.68011,4.14055,2.16817,1.69724,1.6567,14.63392,562.4395,558.81151,60.33185,590.79143,3.42701,3.41594,1.12241,3.51232,1.09251,5.25913,-4.94253,0.82434,316.57755,1.49872,0.46172,1.03313,0.3846,2.56449,9.0,23.0,0.01698,0.75428,0.03547,52.45767,52.28154,52.47465,52.29847,69.4603835
994.0,0.93449,20.678,19.88269,,,681.65364,289.48823,42.46852,503.03604,3264.0597,172.89941,11.27528,4.78844,-0.73062,3.36701,3.30384,10.88018,10048.81171,10007.23056,1585.06228,10820.55227,5.89268,5.88048,2.34034,6.11478,-4.36631,13.17141,-55.65389,0.38904,283.27834,-0.38879,0.32669,1.29998,0.45346,2.71259,43.0,6328.0,0.95795,92.60989,0.32982,391.20746,57.39094,392.16541,57.53148,71.0806245
804.0,1.69003,17.65583,19.88269,,,378.9242,161.95158,42.73983,338.68287,1636.49822,112.31848,10.10486,4.3188,-0.72942,2.77785,2.67889,9.69575,3611.25152,3609.58708,596.73981,3908.7892,4.72283,4.72174,1.91984,4.91354,4.48885,-47.3126,-27.85403,1.04457,210.54148,-0.43311,0.36221,1.17997,0.49059,2.69141,41.0,3543.0,0.49973,48.66379,0.30762,216.47289,57.12828,216.97262,57.26017,72.96729300000001
750.0,5.78586,20.678,19.88269,,,232.57286,102.53309,44.08644,251.67857,998.15448,30.26078,9.73495,4.29179,2.38104,2.26393,2.22314,13.42329,2070.83826,2065.42404,246.56528,2191.41379,4.49247,4.48659,1.55017,4.62141,-2.69671,-6.49802,26.80779,0.86911,103.66165,1.46752,0.40816,1.08013,0.39288,2.64522,18.0,55.0,0.03331,1.84857,0.03248,130.00646,55.89924,130.03977,55.91356,75.323193
486.0,0.51695,10.16006,19.88269,,,247.63858,120.6161,48.7065,234.34295,1007.96089,34.78969,8.35677,4.07029,1.78611,2.8248,2.82131,5.8144,1140.07081,1148.93674,477.47147,1383.23951,3.07372,3.08564,1.98917,3.38568,-14.30389,9.76842,-24.98287,2.32295,292.50368,1.2824,0.51895,0.93857,0.38903,2.68792,20.0,82.0,0.08111,3.71058,0.0672,126.94137,51.26074,127.02248,51.2935,76.5338505
778.0,6.98362,26.29421,24.85275,,,1217.05957,581.40559,47.77133,699.47717,3824.82358,104.45829,6.57858,3.14268,1.47721,4.49864,4.62361,15.01581,18782.00981,18872.12271,5769.59916,21711.86584,5.68238,5.696,3.14943,6.10953,12.22835,251.81632,-56.37504,1.13482,347.51348,1.34729,0.60045,0.7956,0.50767,2.70361,77.0,424.0,1.60311,29.99839,0.27497,634.05086,52.09695,635.65397,52.22867,78.6638915
870.0,1.25261,18.53067,19.88269,,,366.32005,150.1364,40.98503,340.15413,2140.14317,101.73585,14.25466,5.84228,0.58077,2.5791,2.57294,9.62366,3839.6322,3839.22194,509.10029,4093.97722,5.05661,5.05634,1.84126,5.2214,0.57527,12.96263,15.98423,0.35411,50.96061,0.24446,0.25845,1.58582,0.36082,2.732,52.0,2541.0,0.26735,31.21073,0.17775,215.9163,58.94198,216.18365,59.01497,78.98916399999999
1031.0,0.86985,26.46818,24.85275,,,3056.34629,590.07186,19.30645,1356.68537,6670.2202,45.57711,11.30408,2.18242,3.38832,6.00222,4.96607,14.59273,35945.59037,36062.05221,6985.63067,39496.63662,7.7977,7.81032,3.43753,8.1738,-146.33955,-2215.52407,1626.8473,5.39213,143.73323,1.79846,0.35412,0.54519,1.43999,2.68991,163.0,295.0,0.27663,13.35536,0.04686,2465.99781,80.6845,2466.27444,80.69355,83.3669015
126.0,23.85864,26.96523,24.85275,,,150.02695,45.57414,30.3773,176.66896,545.09181,43.74018,11.96055,3.63329,3.57839,3.93242,3.84465,25.39588,211.01358,215.02218,349.71832,387.87704,2.14957,2.16989,2.7673,2.91436,-4.22084,0.84513,-1.12182,89.46751,327.67228,1.7951,0.34317,0.88519,0.57761,2.55628,29.0,43.0,0.06388,2.48277,0.13997,104.38893,69.58012,104.45281,69.6227,84.54119349999999
886.0,1.8391,23.83378,24.85275,,,1215.28161,372.33769,30.63798,722.30308,5148.8793,164.15034,13.82852,4.23678,4.38793,4.20616,4.23132,13.45962,16383.65588,16367.90517,3261.2544,18006.40773,6.62362,6.62044,2.95517,6.94391,6.64635,-65.85994,-59.34945,0.38748,222.0607,1.90386,0.30064,1.01908,0.46786,2.72917,259.0,317.0,0.08162,6.34861,0.02192,842.86229,69.35531,842.94391,69.36202,86.283644
