#Location,Dry Creek
#Site,Bogus Lower
#Pit_ID,bogus1
#Date_Time,2022-03-02-945
#UTM_Zone,
#Easting,
#Northing,
#Slope,0
#Aspect,n/a
#Air_Temp(deg_c),4
#Total_depth(cm),110
#Surveyors,"Anna Valentine, HP Marshall"
#Weather,Clear
#Precip,None
#Sky,CLR
#Wind,None
#Ground_condition,0
#Ground_vegetation,grass
#Vegetation_height,n/a
#Tree_canopy,open
#Comments,lots of melting; 15cm boot pen
